taxa	FHBDON	FHBDISIND	FHBSPKINC	PTHT	ZDK
20SGH003868	9.8	NA	NA	80	59
20SGH001087	3.7	2	100	120	65
20SGH001424	4.2	1.2	80	122	65
20SGH001434	21.8	1.53333333	100	121	69
20SGH000627	2.2	2	100	123	69
20SGH000214	44.2	2.26666667	100	112	69
20SGH001051	3.2	0.93333333	80	120	69
20SGH003247	NA	NA	NA	60	65
20SGH000997	NA	1.86666667	93.3333333	106	69
20SGH000462	2.9	0.4	40	139	69
20SGH002998	NA	NA	NA	NA	57
20SGH002194	3.6	2.46666667	100	130	69
20SGH000055	5.6	1.6	93.3333333	138	69
20SGH001245	47.4	1.6	100	119	69
20SGH003347	NA	NA	NA	NA	59
20SGH003902	8.7	1.66666667	100	113	69
20SGH002798	16.2	1.86666667	100	91	65
20SGH003811	10	1.8	93.3333333	90	69
20SGH003054	NA	NA	NA	NA	NA
20SGH001139	6.2	1.8	100	122	69
20SGH003769	NA	NA	NA	68	65
20SGH003410	NA	NA	NA	NA	NA
20SGH001789	18.4	1.4	93.3333333	114	69
20SGH000417	34.6	2.2	100	101	69
20SGH003098	2.9	1.15384615	84.6153846	116	69
20SGH002357	10.7	1.73333333	93.3333333	142	69
20SGH003412	46.6	2.27272727	100	81	69
20SGH002831	16.1	2.13333333	100	106	69
20SGH000892	15.4	1.92307692	100	130	69
20SGH000460	5.3	1.33333333	93.3333333	100	69
20SGH000935	1.7	1.86666667	100	126	69
20SGH003062	1.7	1.2	93.3333333	122	65
20SGH001731	41.2	1.53333333	86.6666667	114	65
20SGH000197	27.6	1.33333333	86.6666667	112	69
20SGH002931	7.3	1.46666667	100	111	65
20SGH003159	28	NA	NA	80	65
20SGH003124	6.3	1.08333333	91.6666667	93	65
20SGH003219	9.5	2	100	96	69
20SGH000479	31.7	2.06666667	100	118	61
20SGH002402	2.5	1.2	86.6666667	120	69
20SGH001192	5.6	1.4	86.6666667	139	69
20SGH003638	3.5	1.86666667	100	115	69
20SGH001388	7.6	2	100	130	69
20SGH000582	39.7	NA	NA	89	69
20SGH002893	18	2.06666667	100	120	69
20SGH002754	69.9	2.83333333	100	111	69
20SGH000388	6.9	NA	NA	91	65
20SGH001357	43.5	2.26666667	93.3333333	89	69
20SGH002394	5.5	1.86666667	100	83	65
20SGH001491	13.6	1.73333333	100	90	69
20SGH002295	12.6	1.6	100	104	65
20SGH001120	8.4	0.93333333	73.3333333	117	69
20SGH003536	4.8	1.4	93.3333333	120	69
20SGH003461	17	1.46666667	100	130	65
20SGH001439	5	1.53333333	93.3333333	132	69
20SGH001971	12.4	0.86666667	66.6666667	104	61
20SGH000496	7.5	1.46666667	93.3333333	103	65
20SGH003310	NA	NA	NA	56	57
20SGH002620	5.4	NA	NA	91	69
20SGH002989	1.5	0.93333333	73.3333333	105	69
20SGH001059	11.6	1.53846154	100	110	69
20SGH003920	17.2	1.6	93.3333333	122	69
20SGH000586	7	1.73333333	93.3333333	108	69
20SGH001440	NA	NA	NA	NA	NA
20SGH003280	10	NA	NA	90	65
20SGH002419	3.7	2	100	114	69
20SGH002334	8.3	NA	NA	85	69
20SGH002238	3	1.53333333	86.6666667	124	69
20SGH002156	5.3	1.73333333	100	103	69
20SGH003851	11.9	2	100	115	65
20SGH000790	2.2	NA	NA	95	69
20SGH002338	21.8	2	100	141	69
20SGH000033	16.3	1.93333333	100	106	69
20SGH002149	13.5	2.33333333	100	114	69
20SGH000614	23.3	1.6	100	97	65
20SGH003432	NA	NA	NA	NA	NA
20SGH000519	7.7	1.30769231	100	108	65
20SGH003696	NA	NA	NA	NA	NA
20SGH000500	3.5	NA	NA	81	69
20SGH003453	1.6	1.33333333	75	113	69
20SGH002137	8	1.26666667	86.6666667	123	69
20SGH001270	10.7	1.53333333	100	106	69
20SGH001699	3.6	1.33333333	73.3333333	120	69
20SGH001666	5.4	2	100	120	69
20SGH001392	57.1	1.86666667	93.3333333	100	69
20SGH001477	16.7	NA	NA	54	59
20SGH002856	49.4	2	100	134	65
20SGH001395	14.4	2.06666667	100	141	71
20SGH001420	13.5	1.13333333	93.3333333	125	69
20SGH003820	13.8	1.73333333	100	105	69
20SGH001320	12.3	1	80	150	69
20SGH000837	14	2.2	100	119	69
20SGH001360	135.1	2.93333333	100	98	65
20SGH003091	4.1	2	100	117	69
20SGH002227	37.8	1.33333333	100	129	69
20SGH000755	1.8	0.8	60	128	69
20SGH001504	2.1	1.61538462	100	128	69
20SGH000710	12.6	1.13333333	86.6666667	124	71
20SGH003169	6.2	NA	NA	83	69
20SGH003854	8.2	2.46666667	100	120	69
20SGH003369	NA	NA	NA	90	61
20SGH002044	3.3	2.2	100	110	69
20SGH003506	9.2	NA	NA	94	69
