taxa	FHBZEA	FHBDON	FHBDISIND	FHBSPKINC	PTHT	ZDK	BLSSEV	HSATIVLSEV
20SGH002187	0.1	5.7	1.75	85	115	71	5	2
20SGH002190	0	0.4	0.285714286	28.57142857	100	59	2	10
20SGH002194	0.2	7.6	3.1	95	125	71	10	10
20SGH002197	0.3	7.3	2.1	85	120	69	5	2
20SGH002227	0	4.7	1.55	90	120	69	10	30
20SGH002234	0.5	16.4	2.15	85	130	71	20	10
20SGH002238	0.4	14.4	3.05	100	120	71	10	5
20SGH002251	0.3	5	1.7	85	120	71	2	2
20SGH002262	0	0.5	0.5	50	NA	57	0	2
20SGH002272	0	0.6	1.0625	62.5	NA	69	5	20
20SGH002280	0.2	1.7	1.5	75	130	69	5	10
20SGH002295	0.7	22.8	3.65	100	130	73	10	2
20SGH002304	0	4.7	3.3	100	110	69	5	10
20SGH002305	0	5.1	1.3	65	140	69	10	10
20SGH002314	0	10.3	1.85	85	120	71	10	20
20SGH002331	0.3	5.8	2	90	130	71	5	0
20SGH002334	NA	NA	NA	NA	NA	NA	NA	NA
20SGH002338	0.1	15.4	1.5625	75	130	69	10	20
20SGH002341	0.1	7.2	1.85	90	140	69	60	30
20SGH002357	0	1.5	2.5	85	130	69	0	60
20SGH002359	0	3.5	1.8	65	110	69	5	40
20SGH002372	0.3	8.7	2.95	100	120	69	10	2
20SGH002373	0	9.3	2.153846154	84.61538462	110	69	50	60
20SGH002394	0.2	2.4	1.5	60	90	65	10	10
20SGH002402	1	22.9	2.8	100	120	71	30	20
20SGH002403	NA	NA	1.2	70	130	69	10	30
20SGH002419	0	6.3	3.15	100	120	69	30	10
20SGH002428	0	8.6	1.95	90	100	69	60	30
20SGH002441	NA	NA	NA	NA	100	NA	NA	NA
20SGH002442	0	0.2	1.25	75	100	61	2	5
20SGH002461	0.2	3.8	0.666666667	33.33333333	120	69	20	40
20SGH002471	0.1	4.5	3.3	100	130	69	2	20
20SGH002506	0.4	9.7	2.294117647	76.47058824	130	69	60	30
20SGH002509	0	8.1	1.45	60	110	69	10	10
20SGH002529	NA	NA	3	100	60	69	2	10
20SGH002537	0	0	1.25	75	110	69	30	60
20SGH002540	0.8	23.5	3.1	100	115	71	5	20
20SGH002546	0.2	11.1	2.85	90	125	71	60	40
20SGH002548	1	14	2	83.33333333	75	69	30	5
20SGH002563	0.3	11.9	2.3	85	100	71	10	50
20SGH002569	0	2.5	2.05	90	115	71	10	30
20SGH002571	0	7.8	2.4	95	135	69	5	10
20SGH002602	NA	NA	1.2	70	60	77	0	2
20SGH002611	0.2	3.3	2.15	85	120	71	2	10
20SGH002620	0	0	4	100	90	65	NA	NA
20SGH002622	0	1.9	3.65	100	125	71	20	20
20SGH002660	0.5	20.2	1.611111111	72.22222222	120	69	20	30
20SGH002662	0	1.3	1.2	65	120	69	10	2
20SGH002671	NA	NA	NA	NA	NA	41	NA	NA
20SGH002672	0.4	14.8	2.55	90	110	69	5	10
20SGH002689	0	7.4	1.95	85	115	69	30	10
20SGH002698	0	9.7	3.2	100	135	71	30	10
20SGH002701	0	10.1	3	95	120	71	5	30
20SGH002709	0	1.5	0.538461538	38.46153846	105	69	NA	2
20SGH002711	NA	NA	NA	NA	NA	NA	NA	NA
20SGH002736	0	0.7	1	61.11111111	90	69	5	10
20SGH002745	0	8.5	1.333333333	50	NA	69	5	20
20SGH002754	0.3	31	2.95	95	130	71	20	30
20SGH002776	NA	NA	NA	NA	NA	NA	NA	NA
20SGH002778	NA	NA	NA	NA	NA	NA	NA	NA
20SGH002791	2.6	20.9	3	82.35294118	110	71	20	20
20SGH002798	NA	NA	NA	NA	NA	53	NA	NA
20SGH002801	0	5.4	1.85	80	125	69	10	20
20SGH002831	0	2.6	1.111111111	44.44444444	90	69	10	20
20SGH002847	0	2.9	1.333333333	100	80	71	2	0
20SGH002854	NA	NA	4.333333333	100	85	71	0	10
20SGH002856	10.1	11.3	2	85	120	69	10	10
