taxa	FHBDON	FHBDISIND	FHBSPKINC	PTHT	ZDK	GLBLSEV	BLSSEV	HSATIVLSEV
20SGH000277	13.4	1.7	80	126	69	0	5	30
20SGH002750	9.3	2.57894737	89.4736842	109	69	0	10	0
20SGH003097	0.3	1.84615385	84.6153846	103	61	0	10	10
20SGH000619	NA	NA	NA	NA	NA	NA	NA	NA
20SGH003715	0.9	2.15	85	139	71	0	10	40
20SGH000179	3.2	2.05	90	104	59	0	10	2
20SGH000959	15.1	2	80	127	59	5	30	0
20SGH003650	4.3	2	65	134	69	0	10	30
20SGH002091	1.4	2.55	85	108	59	0	10	5
20SGH002934	9	1.85	85	96	61	0	0	40
20SGH003301	5.2	1.5	85	96	59	0	2	0
20SGH001984	8.4	1.15	70	104	59	0	40	0
20SGH001075	1	1.55	70	154	69	0	0	0
20SGH002077	4.4	1.35	75	89	57	0	2	5
20SGH000511	1	1.33333333	75	88	57	0	0	10
20SGH003146	2.2	1.46666667	73.3333333	120	69	2	20	5
20SGH002252	0.3	0.93333333	53.3333333	106	69	0	5	20
20SGH003039	2.6	1.2	73.3333333	98	69	0	10	5
20SGH000445	0.3	2.13333333	93.3333333	132	69	0	5	0
20SGH000813	5.1	1.4	73.3333333	121	61	0	10	20
20SGH002311	2.6	1.3125	62.5	115	69	2	5	10
20SGH002529	1	2.06666667	80	113	65	0	2	2
20SGH002996	3.5	1.33333333	73.3333333	109	57	0	2	5
20SGH000634	6.3	1.93333333	80	106	65	0	5	5
20SGH000732	2	1.33333333	53.3333333	109	59	0	5	10
20SGH002201	5.4	2	86.6666667	107	65	0	2	2
20SGH001018	0	1.53333333	66.6666667	127	59	0	5	0
20SGH003557	NA	NA	NA	NA	NA	NA	NA	NA
20SGH000748	3.9	1.8	73.3333333	112	69	5	10	5
20SGH001255	0.5	2.06666667	86.6666667	112	69	2	5	20
20SGH002335	1	1.15	75	110	59	0	0	30
20SGH003055	NA	NA	NA	NA	NA	NA	NA	NA
20SGH000948	5.7	1.55	75	126	59	0	2	10
20SGH002577	8.7	1.65	75	121	69	0	40	30
20SGH002588	7.5	1.9	75	115	59	0	30	20
20SGH002033	NA	NA	NA	NA	NA	NA	NA	NA
20SGH000344	5.1	2	75	101	69	2	10	30
20SGH002911	1	1.35	60	111	69	0	10	10
20SGH003534	1.5	1.9	65	146	69	0	2	10
20SGH002815	0.2	0.7	50	90	57	0	5	20
20SGH002513	6.4	1.35	80	123	69	5	5	40
20SGH003593	11.9	1.6	95	117	69	0	5	20
20SGH002024	5.1	1.95	95	111	69	0	5	10
20SGH003311	3.4	1.4	85	85	59	0	10	10
20SGH000493	0.5	2.2	90	100	65	0	2	10
20SGH000799	2.8	2.72222222	100	107	69	0	5	40
20SGH000937	1	1.73684211	68.4210526	111	69	0	5	20
20SGH003670	NA	NA	NA	NA	NA	NA	NA	NA
20SGH002383	NA	NA	NA	NA	NA	NA	NA	NA
20SGH003498	NA	NA	NA	NA	NA	NA	NA	NA
20SGH000434	NA	NA	NA	NA	NA	NA	NA	NA
20SGH002646	16.5	2.1	100	122	69	0	10	20
20SGH001058	0.6	1.85	80	129	69	5	10	5
20SGH002917	1.3	1.6	70	110	69	2	2	20
