phenotype_year	plant_id	Cycle	Site	Time	serpentine	FHBDON	FHBZEA
2022	20SGH000634	C10	SAL	5	302	0.2	0.1
2022	20SGH000732	C10	SAL	5	303	0.1	0.1
2022	20SGH002201	C10	SAL	5	304	0.5	0
2022	20SGH001018	C10	SAL	5	305	0	0
2022	19SGH002225	C10	SAL	5	306	0.4	0.2
2022	20SGH000748	C10	SAL	5	308	0.6	0.4
2022	20SGH001255	C10	SAL	5	309	0	0
2022	20SGH002335	C10	SAL	5	310	0	0
2022	20SGH000948	C10	SAL	5	313	0.2	0.2
2022	20SGH002577	C10	SAL	5	314	0	0
2022	20SGH002588	C10	SAL	5	316	0	0
2022	20SGH002033	C10	SAL	5	317	0	0
2022	20SGH000344	C10	SAL	5	318	0	0
2022	20SGH002911	C10	SAL	5	319	0	0
2022	20SGH003534	C10	SAL	5	321	0.1	0.1
2022	19SGH004077	C10	SAL	5	322	0.1	0.1
2022	20SGH002815	C10	SAL	5	323	0	0
2022	20SGH002513	C10	SAL	5	324	0.5	0
2022	20SGH003593	C10	SAL	5	325	0.3	0
2022	20SGH002024	C10	SAL	5	326	0.3	0.1
2022	20SGH003311	C10	SAL	5	327	0	0
2022	20SGH000493	C10	SAL	5	328	0	0.1
2022	20SGH000799	C10	SAL	5	329	0.1	0
2022	20SGH000937	C10	SAL	5	330	0.1	0.2
2022	20SGH000434	C10	SAL	5	334	0	0
2022	20SGH002646	C10	SAL	5	335	2.5	0
2022	20SGH001058	C10	SAL	5	336	0	0
2022	20SGH002917	C10	SAL	5	337	0	0
2022	20SGH002479	C10	SAL	5	338	0	0
2022	20SGH000866	C10	SAL	5	339	0.9	0.1
2022	20SGH002731	C10	SAL	5	340	0	0.2
2022	20SGH001121	C10	SAL	5	341	0.3	0.4
2022	20SGH002793	C10	SAL	5	342	0	0
2022	20SGH002421	C10	SAL	5	343	0.1	0
2022	20SGH002136	C10	SAL	5	344	0.3	0
2022	20SGH003845	C10	SAL	5	345	0.4	0.3
2022	20SGH001108	C10	SAL	5	347	0.1	0.1
2022	20SGH002923	C10	SAL	5	348	0	0
2022	20SGH000309	C10	SAL	5	349	0.9	0.5
2022	20SGH002160	C10	SAL	5	350	0	0
2022	20SGH002510	C10	SAL	5	353	0	0
2022	20SGH001198	C10	SAL	5	354	0.2	0
2022	20SGH003822	C10	SAL	5	355	0.2	0
2022	20SGH000181	C10	SAL	5	358	0	0
2022	20SGH002038	C10	SAL	5	359	0.1	0.1
2022	20SGH003735	C10	SAL	5	360	0.2	0
2022	20SGH000226	C10	SAL	5	361	0	0
2022	20SGH003871	C10	SAL	5	362	0	0
2022	20SGH003684	C10	SAL	5	363	0.2	0
2022	20SGH001183	C10	SAL	5	364	0.3	0
2022	20SGH002700	C10	SAL	5	367	0	0
2022	20SGH001185	C10	SAL	5	368	0	0
2022	20SGH003547	C10	SAL	5	369	0.1	0.1
2022	20SGH002777	C10	SAL	5	371	0	0
2022	20SGH001011	C10	SAL	5	372	0.2	0.1
2022	20SGH002060	C10	SAL	5	374	0	0
2022	20SGH003633	C10	SAL	5	375	0	0
2022	20SGH001830	C10	SAL	5	376	0	0
2022	20SGH002172	C10	SAL	5	377	0.9	0.1
2022	20SGH002788	C10	SAL	5	378	0	0
2022	20SGH001287	C10	SAL	5	379	0	0
2022	20SGH003866	C10	SAL	5	380	0.3	0
2022	20SGH002999	C10	SAL	5	381	0.2	0.4
2022	20SGH003595	C10	SAL	5	382	0.2	0
2022	20SGH000105	C10	SAL	5	383	0.4	0
