"","EntityID","CPGID","PlantID","source_id","germplasm_id","experiment_id","PlotID","Selection","Entry","planting_date","StartingCorner","Row","Range","easting","northing","altitude","rep","block","notes","DON","ZEA"
"77","20FHB000077",2077,"Overley",NA,"Overley","20_SAL_FusariumCycle10Training","F2021_Salina_FHB_Iwg_77_CPG2077_Overley","susceptible check","winter wheat","2020-10-16","SW",3,15,0,0,0,0,0,"ww_check",NA,NA
"78","20FHB000078",2078,"146","20SGH000146","C10_000146","20_SAL_FusariumCycle10Training","F2021_Salina_FHB_Iwg_78_CPG2078_146","experimental","C10","2020-10-16","SW",3,16,0,0,0,0,0,NA,NA,NA
"79","20FHB000079",2079,"1411","20SGH001411","C10_001411","20_SAL_FusariumCycle10Training","F2021_Salina_FHB_Iwg_79_CPG2079_1411","experimental","C10","2020-10-16","SW",3,17,0,0,0,0,0,NA,0,0
"80","20FHB000080",2080,"3771","20SGH003771","C10_003771","20_SAL_FusariumCycle10Training","F2021_Salina_FHB_Iwg_80_CPG2080_3771","experimental","C10","2020-10-16","SW",3,18,0,0,0,0,0,NA,NA,NA
"81","20FHB000081",2081,"1430","20SGH001430","C10_001430","20_SAL_FusariumCycle10Training","F2021_Salina_FHB_Iwg_81_CPG2081_1430","experimental","C10","2020-10-16","SW",3,19,0,0,0,0,0,NA,0,0
"82","20FHB000082",2082,"3026","20SGH003026","C10_003026","20_SAL_FusariumCycle10Training","F2021_Salina_FHB_Iwg_82_CPG2082_3026","experimental","C10","2020-10-16","SW",3,20,0,0,0,0,0,NA,0,0
"83","20FHB000083",2083,"2278","20SGH002278","C10_002278","20_SAL_FusariumCycle10Training","F2021_Salina_FHB_Iwg_83_CPG2083_2278","experimental","C10","2020-10-16","SW",3,21,0,0,0,0,0,NA,0,0
"84","20FHB000084",2084,"701","20SGH000701","C10_000701","20_SAL_FusariumCycle10Training","F2021_Salina_FHB_Iwg_84_CPG2084_701","experimental","C10","2020-10-16","SW",3,22,0,0,0,0,0,NA,0,0
"85","20FHB000085",2085,"Roblin",NA,"Roblin","20_SAL_FusariumCycle10Training","F2021_Salina_FHB_Iwg_85_CPG2085_Roblin","susceptible check","spring wheat","2020-10-16","SW",3,23,0,0,0,0,0,"sw_check",NA,NA
"86","20FHB000086",2086,"166","20SGH000166","C10_000166","20_SAL_FusariumCycle10Training","F2021_Salina_FHB_Iwg_86_CPG2086_166","experimental","C10","2020-10-16","SW",3,24,0,0,0,0,0,NA,0,0
"87","20FHB000087",2087,"1476","20SGH001476","C10_001476","20_SAL_FusariumCycle10Training","F2021_Salina_FHB_Iwg_87_CPG2087_1476","experimental","C10","2020-10-16","SW",3,25,0,0,0,0,0,NA,0,0
"88","20FHB000088",2088,"905","20SGH000905","C10_000905","20_SAL_FusariumCycle10Training","F2021_Salina_FHB_Iwg_88_CPG2088_905","experimental","C10","2020-10-16","SW",3,26,0,0,0,0,0,NA,0,0
"89","20FHB000089",2089,"2320","20SGH002320","C10_002320","20_SAL_FusariumCycle10Training","F2021_Salina_FHB_Iwg_89_CPG2089_2320","experimental","C10","2020-10-16","SW",3,27,0,0,0,0,0,NA,0,0
"90","20FHB000090",2090,"3740","20SGH003740","C10_003740","20_SAL_FusariumCycle10Training","F2021_Salina_FHB_Iwg_90_CPG2090_3740","experimental","C10","2020-10-16","SW",3,28,0,0,0,0,0,NA,NA,NA
"91","20FHB000091",2091,"530","20SGH000530","C10_000530","20_SAL_FusariumCycle10Training","F2021_Salina_FHB_Iwg_91_CPG2091_530","experimental","C10","2020-10-16","SW",3,29,0,0,0,0,0,NA,0.1,0.1
"92","20FHB000092",2092,"1344","20SGH001344","C10_001344","20_SAL_FusariumCycle10Training","F2021_Salina_FHB_Iwg_92_CPG2092_1344","experimental","C10","2020-10-16","SW",3,30,0,0,0,0,0,NA,0,0
"93","20FHB000093",2093,"405","20SGH000405","C10_000405","20_SAL_FusariumCycle10Training","F2021_Salina_FHB_Iwg_93_CPG2093_405","experimental","C10","2020-10-16","SW",3,31,0,0,0,0,0,NA,0.1,0
"94","20FHB000094",2094,"3141","20SGH003141","C10_003141","20_SAL_FusariumCycle10Training","F2021_Salina_FHB_Iwg_94_CPG2094_3141","experimental","C10","2020-10-16","SW",4,31,0,0,0,0,0,NA,0,0
